Year,SERIES,SEX,AGE,UNIT_MEASURE,Value
2021,sdg_08_20,BOTHSEX,Y20_64,PC,25.1
2022,sdg_08_20,BOTHSEX,Y20_64,PC,23.5
2023,sdg_08_20,BOTHSEX,Y20_64,PC,22.2
2024,sdg_08_20,BOTHSEX,Y20_64,PC,20.1
2025,sdg_08_20,BOTHSEX,Y20_64,PC,20.0
2021,sdg_08_20,M,Y20_64,PC,21.6
2022,sdg_08_20,M,Y20_64,PC,19.8
2023,sdg_08_20,M,Y20_64,PC,18.8
2024,sdg_08_20,M,Y20_64,PC,16.6
2025,sdg_08_20,M,Y20_64,PC,16.4
2021,sdg_08_20,F,Y20_64,PC,28.8
2022,sdg_08_20,F,Y20_64,PC,27.4
2023,sdg_08_20,F,Y20_64,PC,25.9
2024,sdg_08_20,F,Y20_64,PC,23.8
2025,sdg_08_20,F,Y20_64,PC,23.9
