Year,SERIES,Partneri za saradnju,UNIT_MEASURE,Value
2011,sdg_09_40,Pronalazač,NUMBER,1.0
2012,sdg_09_40,Pronalazač,NUMBER,1.0
2013,sdg_09_40,Pronalazač,NUMBER,2.0
2014,sdg_09_40,Pronalazač,NUMBER,3.0
2015,sdg_09_40,Pronalazač,NUMBER,2.0
2016,sdg_09_40,Pronalazač,NUMBER,1.0
2017,sdg_09_40,Pronalazač,NUMBER,2.0
2018,sdg_09_40,Pronalazač,NUMBER,4.0
2019,sdg_09_40,Pronalazač,NUMBER,3.0
2020,sdg_09_40,Pronalazač,NUMBER,4.0
2021,sdg_09_40,Pronalazač,NUMBER,0.0
2022,sdg_09_40,Pronalazač,NUMBER,8.0
2023,sdg_09_40,Pronalazač,NUMBER,9.0
2024,sdg_09_40,Pronalazač,NUMBER,6.0
2025,sdg_09_40,Pronalazač,NUMBER,4.0
2011,sdg_09_40,Pronalazač,PER_1000000_POP,0.27
2012,sdg_09_40,Pronalazač,PER_1000000_POP,0.27
2013,sdg_09_40,Pronalazač,PER_1000000_POP,0.53
2014,sdg_09_40,Pronalazač,PER_1000000_POP,0.79
2015,sdg_09_40,Pronalazač,PER_1000000_POP,0.55
2016,sdg_09_40,Pronalazač,PER_1000000_POP,0.29
2017,sdg_09_40,Pronalazač,PER_1000000_POP,0.58
2018,sdg_09_40,Pronalazač,PER_1000000_POP,1.15
2019,sdg_09_40,Pronalazač,PER_1000000_POP,
2020,sdg_09_40,Pronalazač,PER_1000000_POP,
2021,sdg_09_40,Pronalazač,PER_1000000_POP,
2022,sdg_09_40,Pronalazač,PER_1000000_POP,2.32
2023,sdg_09_40,Pronalazač,PER_1000000_POP,2.63
2024,sdg_09_40,Pronalazač,PER_1000000_POP,1.76
2025,sdg_09_40,Pronalazač,PER_1000000_POP,
2011,sdg_09_40,Podnosilac zahtjeva,NUMBER,1.0
2012,sdg_09_40,Podnosilac zahtjeva,NUMBER,1.0
2013,sdg_09_40,Podnosilac zahtjeva,NUMBER,2.0
2014,sdg_09_40,Podnosilac zahtjeva,NUMBER,3.0
2015,sdg_09_40,Podnosilac zahtjeva,NUMBER,2.0
2016,sdg_09_40,Podnosilac zahtjeva,NUMBER,1.0
2017,sdg_09_40,Podnosilac zahtjeva,NUMBER,2.0
2018,sdg_09_40,Podnosilac zahtjeva,NUMBER,4.0
2019,sdg_09_40,Podnosilac zahtjeva,NUMBER,3.0
2020,sdg_09_40,Podnosilac zahtjeva,NUMBER,4.0
2021,sdg_09_40,Podnosilac zahtjeva,NUMBER,0.0
2022,sdg_09_40,Podnosilac zahtjeva,NUMBER,8.0
2023,sdg_09_40,Podnosilac zahtjeva,NUMBER,9.0
2024,sdg_09_40,Podnosilac zahtjeva,NUMBER,6.0
2025,sdg_09_40,Podnosilac zahtjeva,NUMBER,4.0
2011,sdg_09_40,Podnosilac zahtjeva,PER_1000000_POP,0.0
2012,sdg_09_40,Podnosilac zahtjeva,PER_1000000_POP,0.79
2013,sdg_09_40,Podnosilac zahtjeva,PER_1000000_POP,0.27
2014,sdg_09_40,Podnosilac zahtjeva,PER_1000000_POP,0.0
2015,sdg_09_40,Podnosilac zahtjeva,PER_1000000_POP,0.0
2016,sdg_09_40,Podnosilac zahtjeva,PER_1000000_POP,0.57
2017,sdg_09_40,Podnosilac zahtjeva,PER_1000000_POP,0.0
2018,sdg_09_40,Podnosilac zahtjeva,PER_1000000_POP,0.29
2019,sdg_09_40,Podnosilac zahtjeva,PER_1000000_POP,
2020,sdg_09_40,Podnosilac zahtjeva,PER_1000000_POP,
2021,sdg_09_40,Podnosilac zahtjeva,PER_1000000_POP,
2022,sdg_09_40,Podnosilac zahtjeva,PER_1000000_POP,2.03
2023,sdg_09_40,Podnosilac zahtjeva,PER_1000000_POP,2.34
2024,sdg_09_40,Podnosilac zahtjeva,PER_1000000_POP,1.76
2025,sdg_09_40,Podnosilac zahtjeva,PER_1000000_POP,
