Year,SERIES,SEX,SECTPERF,UNIT_MEASURE,Value
2017,sdg_09_30,BOTHSEX,TOTAL,NUMBER_ACT_FTE,3489
2018,sdg_09_30,BOTHSEX,TOTAL,NUMBER_ACT_FTE,2853
2019,sdg_09_30,BOTHSEX,TOTAL,NUMBER_ACT_FTE,2883
2020,sdg_09_30,BOTHSEX,TOTAL,NUMBER_ACT_FTE,2541
2021,sdg_09_30,BOTHSEX,TOTAL,NUMBER_ACT_FTE,2492
2022,sdg_09_30,BOTHSEX,TOTAL,NUMBER_ACT_FTE,2793
2023,sdg_09_30,BOTHSEX,TOTAL,NUMBER_ACT_FTE,3631
2024,sdg_09_30,BOTHSEX,TOTAL,NUMBER_ACT_FTE,3453
2021,sdg_09_30,BOTHSEX,TOTAL,PC_ACT_FTE,0.14
2021,sdg_09_30,BOTHSEX,BES,PC_ACT_FTE,0.03
2021,sdg_09_30,BOTHSEX,GOV,PC_ACT_FTE,0.01
2021,sdg_09_30,BOTHSEX,HES,PC_ACT_FTE,0.01
2021,sdg_09_30,BOTHSEX,PNP,PC_ACT_FTE,0
